ref start end
bar08_11-chrom01-1 1 747
bar08_11-chrom01-1 872 2282
bar08_11-chrom01-1 2429 2768
bar08_11-chrom01-1 3074 4580
bar08_11-chrom01-1 4610 8739
bar08_11-chrom01-1 10439 10790
bar08_11-chrom01-1 10854 13919
bar08_11-chrom02-polish 14732 17057
bar08_11-chrom01-1 17147 19491
bar08_11-chrom01-1 19707 20565
bar08_11-chrom02-polish 20568 22190
bar08_11-chrom02-polish 22511 23534
bar08_11-chrom02-polish 24040 25009
bar08_11-chrom02-polish 26792 27122
bar08_11-chrom01-1 27311 27548
bar08_11-chrom01-1 27717 28041
bar08_11-chrom01-1 28278 28680
bar08_11-chrom02-polish 28684 29305
bar08_11-chrom02-polish 29359 29992
bar08_11-chrom01-1 29999 31858
bar08_11-chrom01-1 35653 36442
bar08_11-chrom01-1 40558 41767
bar08_11-chrom02-polish 48923 49412
bar08_11-chrom01-1 49717 51446
bar08_11-chrom01-1 51523 52282
bar08_11-chrom01-1 52442 55122
bar08_11-chrom02-polish 56447 59880
bar08_11-chrom02-polish 60938 62960
bar08_11-chrom02-polish 63026 64091
bar08_11-chrom02-polish 64121 65144
bar08_11-chrom02-polish 65576 66164
bar08_11-chrom01-1 66315 68142
bar08_11-chrom02-polish 68241 72156
bar08_11-chrom01-1 72184 72871
bar08_11-chrom02-polish 73717 74728
bar08_11-chrom02-polish 74751 77406
bar08_11-chrom02-polish 77928 82190
bar08_11-chrom02-polish 82358 82553
bar08_11-chrom02-polish 83628 84618
bar08_11-chrom02-polish 84850 85393
bar08_11-chrom02-polish 86065 86224
bar08_11-chrom02-polish 86811 87888
bar08_11-chrom02-polish 88977 89415
bar08_11-chrom01-1 90611 90920
bar08_11-chrom01-1 91574 92759
bar08_11-chrom02-polish 99214 100114
bar08_11-chrom01-1 100257 103958
bar08_11-chrom01-1 104345 107114
bar08_11-chrom01-1 107401 108031
bar08_11-chrom01-1 108121 109938
bar08_11-chrom01-1 110332 110839
bar08_11-chrom01-1 111737 114730
bar08_11-chrom01-1 114847 115123
bar08_11-chrom02-polish 115303 118051
bar08_11-chrom01-1 118093 118642
bar08_11-chrom01-1 119829 122409
bar08_11-chrom01-1 124917 126279
bar08_11-chrom01-1 126280 129301
bar08_11-chrom01-1 132334 134219
bar08_11-chrom01-1 135046 139758
bar08_11-chrom01-1 139775 141161
bar08_11-chrom01-1 141179 142220
bar08_11-chrom01-1 142358 145155
bar08_11-chrom01-1 145341 146175
bar08_11-chrom01-1 146280 147909
bar08_11-chrom02-polish 148178 148871
bar08_11-chrom01-1 149051 150509
bar08_11-chrom01-1 150653 152540
bar08_11-chrom02-polish 152554 154891
bar08_11-chrom02-polish 154943 156542
bar08_11-chrom01-1 159793 161338
bar08_11-chrom01-1 161566 162859
bar08_11-chrom02-polish 163031 166299
bar08_11-chrom01-1 166392 169864
bar08_11-chrom01-1 170199 171339
bar08_11-chrom01-1 172322 173087
bar08_11-chrom01-1 173131 173692
bar08_11-chrom01-1 173727 174450
bar08_11-chrom01-1 174616 176494
bar08_11-chrom02-polish 177322 178165
bar08_11-chrom01-1 178246 179515
bar08_11-chrom01-1 179569 181251
bar08_11-chrom01-1 181357 184305
bar08_11-chrom02-polish 184674 186466
bar08_11-chrom01-1 186540 187017
bar08_11-chrom01-1 189030 189825
bar08_11-chrom01-1 190996 191383
bar08_11-chrom01-1 191620 192733
bar08_11-chrom01-1 193177 193644
bar08_11-chrom02-polish 193775 193952
bar08_11-chrom02-polish 196142 196550
bar08_11-chrom01-1 197271 197877
bar08_11-chrom02-polish 201253 201616
bar08_11-chrom01-1 202184 203183
bar08_11-chrom01-1 204087 205077
bar08_11-chrom02-polish 205222 209488
bar08_11-chrom01-1 209935 210694
bar08_11-chrom01-1 211306 213964
bar08_11-chrom01-1 214356 215442
bar08_11-chrom01-1 216521 217106
bar08_11-chrom02-polish 217229 219239
bar08_11-chrom02-polish 220254 222998
bar08_11-chrom02-polish 223033 226078
bar08_11-chrom01-1 226120 226756
bar08_11-chrom02-polish 226797 229107
bar08_11-chrom01-1 229209 230679
bar08_11-chrom02-polish 230718 233400
bar08_11-chrom01-1 233563 234593
bar08_11-chrom01-1 234622 234931
bar08_11-chrom02-polish 236230 239476
bar08_11-chrom02-polish 239628 240006
bar08_11-chrom02-polish 240086 248648
bar08_11-chrom01-1 248816 249800
bar08_11-chrom01-1 250190 250892
bar08_11-chrom01-1 250896 253420
bar08_11-chrom02-polish 254758 255619
bar08_11-chrom02-polish 255908 257129
bar08_11-chrom01-1 257159 259601
bar08_11-chrom01-1 259767 262039
bar08_11-chrom01-1 262072 262552
bar08_11-chrom01-1 262925 263507
bar08_11-chrom01-1 265551 267336
bar08_11-chrom01-1 267385 268447
bar08_11-chrom01-1 268749 269736
bar08_11-chrom01-1 270128 271448
bar08_11-chrom01-1 271583 272804
bar08_11-chrom01-1 272934 273282
bar08_11-chrom01-1 275661 275946
bar08_11-chrom01-1 276268 277812
bar08_11-chrom01-1 278818 279457
bar08_11-chrom01-1 279745 280951
bar08_11-chrom01-1 281024 282320
bar08_11-chrom01-1 282329 285381
bar08_11-chrom01-1 287594 288686
bar08_11-chrom01-1 289691 292872
bar08_11-chrom01-1 294760 295519
bar08_11-chrom01-1 295966 296413
bar08_11-chrom01-1 298408 302200
bar08_11-chrom01-1 303252 303774
bar08_11-chrom01-1 304584 304773
bar08_11-chrom01-1 305086 306538
bar08_11-chrom01-1 306548 306734
bar08_11-chrom01-1 309288 309423
bar08_11-chrom01-1 314880 315171
bar08_11-chrom01-1 318041 318509
bar08_11-chrom02-polish 318617 324063
bar08_11-chrom01-1 324407 324935
bar08_11-chrom01-1 324940 326139
bar08_11-chrom01-1 326750 327754
bar08_11-chrom01-1 328019 328205
bar08_11-chrom01-1 328384 331148
bar08_11-chrom02-polish 332603 333026
bar08_11-chrom01-1 335511 336195
bar08_11-chrom02-polish 337458 340345
bar08_11-chrom01-1 340705 343053
bar08_11-chrom01-1 351148 351451
bar08_11-chrom02-polish 352018 353740
bar08_11-chrom01-1 355208 356264
bar08_11-chrom01-1 357746 358505
bar08_11-chrom01-1 359156 360544
bar08_11-chrom02-polish 361280 362495
bar08_11-chrom01-1 363897 365434
bar08_11-chrom02-polish 367578 369373
bar08_11-chrom01-1 369442 370668
bar08_11-chrom01-1 371574 373530
bar08_11-chrom02-polish 373899 374640
bar08_11-chrom01-1 374775 376460
bar08_11-chrom01-1 376643 377216
bar08_11-chrom01-1 377234 379058
bar08_11-chrom01-1 379305 380238
bar08_11-chrom02-polish 380255 381155
bar08_11-chrom01-1 382002 384081
bar08_11-chrom01-1 384304 384490
bar08_11-chrom02-polish 384510 386561
bar08_11-chrom01-1 386620 387204
bar08_11-chrom01-1 387206 388001
bar08_11-chrom01-1 388101 388413
bar08_11-chrom01-1 391297 396467
bar08_11-chrom01-1 398089 398599
bar08_11-chrom01-1 398718 399795
bar08_11-chrom01-1 399853 403001
bar08_11-chrom01-1 403863 404454
bar08_11-chrom01-1 405414 411970
bar08_11-chrom02-polish 411982 414390
bar08_11-chrom01-1 416185 416386
bar08_11-chrom01-1 416449 418704
bar08_11-chrom01-1 419860 423380
bar08_11-chrom01-1 423606 426167
bar08_11-chrom01-1 426179 430203
bar08_11-chrom02-polish 430257 433533
bar08_11-chrom01-1 433731 435382
bar08_11-chrom02-polish 437068 438582
bar08_11-chrom02-polish 439692 440409
bar08_11-chrom01-1 440946 441684
bar08_11-chrom01-1 443983 445009
bar08_11-chrom02-polish 445128 445452
bar08_11-chrom02-polish 446137 446923
bar08_11-chrom02-polish 447848 451335
bar08_11-chrom02-polish 451336 452053
bar08_11-chrom01-1 452127 455790
bar08_11-chrom01-1 455792 457774
bar08_11-chrom02-polish 457826 458093
bar08_11-chrom02-polish 458123 458522
bar08_11-chrom01-1 459085 459556
bar08_11-chrom02-polish 459669 460473
bar08_11-chrom01-1 461385 471259
bar08_11-chrom02-polish 472939 473392
bar08_11-chrom02-polish 473645 475231
bar08_11-chrom02-polish 475233 475407
bar08_11-chrom02-polish 475570 476728
bar08_11-chrom02-polish 476797 477514
bar08_11-chrom01-1 477518 481847
bar08_11-chrom02-polish 482053 483919
bar08_11-chrom02-polish 483988 484882
bar08_11-chrom01-1 484934 487615
bar08_11-chrom01-1 487634 491307
bar08_11-chrom01-1 491564 492035
bar08_11-chrom01-1 492041 493106
bar08_11-chrom02-polish 493112 494454
bar08_11-chrom01-1 494463 496331
bar08_11-chrom01-1 496608 497520
bar08_11-chrom02-polish 497652 498042
bar08_11-chrom01-1 503219 505082
bar08_11-chrom01-1 505295 505577
bar08_11-chrom01-1 506098 506637
bar08_11-chrom01-1 506736 507444
bar08_11-chrom01-1 507587 509445
bar08_11-chrom02-polish 509848 510349
bar08_11-chrom01-1 510381 511587
bar08_11-chrom02-polish 512120 513305
bar08_11-chrom01-1 513380 515513
bar08_11-chrom01-1 516459 517392
bar08_11-chrom01-1 519773 520397
bar08_11-chrom01-1 520425 521178
bar08_11-chrom02-polish 521265 522931
bar08_11-chrom01-1 522971 526519
bar08_11-chrom02-polish 526540 527104
bar08_11-chrom02-polish 527460 528564
bar08_11-chrom01-1 528693 528753
bar08_11-chrom02-polish 531390 531870
bar08_11-chrom02-polish 531996 532740
bar08_11-chrom01-1 533013 535463
bar08_11-chrom01-1 536154 538708
bar08_11-chrom02-polish 538827 543757
bar08_11-chrom01-1 544300 545673
bar08_11-chrom01-1 545819 546326
bar08_11-chrom01-1 546629 547613
bar08_11-chrom01-1 547760 548444
bar08_11-chrom01-1 548477 548933
bar08_11-chrom02-polish 549041 549944
bar08_11-chrom02-polish 550024 551984
bar08_11-chrom01-1 552009 555937
bar08_11-chrom02-polish 556428 556890
bar08_11-chrom02-polish 557094 557475
bar08_11-chrom02-polish 557477 558235
bar08_11-chrom01-1 558320 559109
bar08_11-chrom02-polish 562481 564534
bar08_11-chrom02-polish 564709 565594
bar08_11-chrom02-polish 565773 566991
bar08_11-chrom02-polish 567058 568403
bar08_11-chrom02-polish 568745 568898
bar08_11-chrom01-1 569162 569741
bar08_11-chrom01-1 571203 571551
bar08_11-chrom01-1 571580 572411
bar08_11-chrom01-1 572632 573829
bar08_11-chrom02-polish 574132 574408
bar08_11-chrom01-1 574546 574942
bar08_11-chrom02-polish 574951 575972
bar08_11-chrom01-1 576049 576862
bar08_11-chrom01-1 577124 577754
bar08_11-chrom01-1 577866 578565
bar08_11-chrom01-1 579095 579488
bar08_11-chrom01-1 579571 580696
bar08_11-chrom02-polish 580855 581812
bar08_11-chrom01-1 582528 583426
bar08_11-chrom02-polish 584170 587617
bar08_11-chrom02-polish 587625 589957
bar08_11-chrom02-polish 591044 591446
bar08_11-chrom02-polish 591548 592940
bar08_11-chrom02-polish 593089 595737
bar08_11-chrom01-1 595827 597377
bar08_11-chrom02-polish 597411 598530
bar08_11-chrom01-1 598873 601792
bar08_11-chrom02-polish 601894 602655
bar08_11-chrom02-polish 602999 603560
bar08_11-chrom01-1 603613 604087
bar08_11-chrom01-1 605812 606094
bar08_11-chrom02-polish 606370 607018
bar08_11-chrom02-polish 609488 614036
bar08_11-chrom02-polish 614606 614858
bar08_11-chrom02-polish 614888 617002
bar08_11-chrom02-polish 617004 618030
bar08_11-chrom02-polish 618043 618280
bar08_11-chrom02-polish 618377 620249
bar08_11-chrom01-1 623024 623879
bar08_11-chrom01-1 627446 628037
bar08_11-chrom01-1 628149 628668
bar08_11-chrom01-1 628684 630175
bar08_11-chrom01-1 630250 631981
bar08_11-chrom01-1 633759 634254
bar08_11-chrom01-1 634312 635224
bar08_11-chrom01-1 635654 636698
bar08_11-chrom01-1 636714 637191
bar08_11-chrom01-1 637569 637995
bar08_11-chrom01-1 638230 639238
bar08_11-chrom01-1 639245 639380
bar08_11-chrom02-polish 639433 639598
bar08_11-chrom02-polish 639603 641561
bar08_11-chrom02-polish 642704 644046
bar08_11-chrom01-1 644510 644666
bar08_11-chrom02-polish 645225 645625
bar08_11-chrom02-polish 645784 646237
bar08_11-chrom02-polish 647702 648515
bar08_11-chrom02-polish 648526 650428
