loci	allele	percDiff	match	snp	ins	del	percSnp	percCover	refLen	call
BME_RS00300	1	0	341	0	0	0	0	42.25	807	I
BME_RS01425	2	0	568	0	0	0	0	82.31	690	I
BME_RS01435	3	0	605	0	0	0	0	55.55	1089	I
BME_RS01440	1	0	75	0	0	0	0	15.33	489	I
BME_RS01460	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS01465	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS01470	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS02840	1	0	829	0	0	0	0	79.4	1044	I
BME_RS05855	10	0	677	0	0	0	0	52.72	1284	I
BME_RS05870	8	0	440	0	0	0	0	94.62	465	I
BME_RS07155	1	0	156	0	0	0	0	30.58	510	I
BME_RS07160	1	0	275	0	0	0	0	45.83	600	I
BME_RS07165	1	0	646	0	0	0	0	71.3	906	I
BME_RS07420	2	0	306	0	0	0	0	21.79	1404	I
BME_RS09360	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS11590	1	0	355	0	0	0	0	37.21	954	I
BME_RS11600	1	0	467	0	0	0	0	45.51	1026	I
BME_RS13130	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13135	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13145	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13160	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13175	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13215	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13425	1	0	166	0	0	0	0	98.8	168	I
BME_RS15140	2	0	413	0	0	0	0	88.81	465	I
