loci	allele	percDiff	match	snp	ins	del	percSnp	percCover	refLen	call
BME_RS00300	1	0	341	0	0	0	0	42.25	807	I
BME_RS00335	1	0	235	0	0	0	0	30.01	783	I
BME_RS02840	1	0	829	0	0	0	0	79.4	1044	I
BME_RS04530	9	0	608	0	0	0	0	94.7	642	I
BME_RS04540	2	0	327	0	0	0	0	87.9	372	I
BME_RS07420	2	0	304	0	0	0	0	21.65	1404	I
BME_RS09360	2	0	392	0	0	0	0	98.98	396	I
BME_RS11590	1	0	619	0	0	0	0	64.88	954	I
BME_RS11600	1	33.89	766	1	259	0	0.09	74.75	1026	I
BME_RS11615	1	0	54	0	0	0	0	5.4	999	I
BME_RS13130	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13135	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13145	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13160	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13175	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13215	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13425	1	0	166	0	0	0	0	98.8	168	I
