loci	allele	percDiff	match	snp	ins	del	percSnp	percCover	refLen	call
BME_RS13130	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13135	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13145	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13160	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13175	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13215	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13425	1	0	166	0	0	0	0	98.8	168	I
BME_RS13745	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13780	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13790	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13800	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13805	42	34.86	825	286	59	65	17.75	72.99	1611	I
BME_RS13810	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13825	1	22.46	1112	238	42	30	9.65	55.96	2466	I
BME_RS13845	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13855	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13860	1	28.5	488	122	29	32	12.17	64.07	1002	I
BME_RS13865	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13870	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13875	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13895	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13900	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13910	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13920	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13925	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13930	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13935	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13940	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13945	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13950	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13955	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13965	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13970	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13975	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13980	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13985	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13990	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13995	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS17310	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS17325	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
