loci	allele	percDiff	match	snp	ins	del	percSnp	percCover	refLen	call
BME_RS00240	1	19.58	423	0	0	103	0	124.34	423	X
BME_RS01310	1	2.92	1227	2	34	0	0.15	97.3	1263	I
BME_RS07865	10	3.51	1428	0	0	52	0	103.64	1428	X
BME_RS09845	11	5.45	1491	0	0	86	0	105.76	1491	X
BME_RS10975	1	0	299	0	0	0	0	72.22	414	I
BME_RS11335	3	0	613	0	0	0	0	97.76	627	I
BME_RS12545	9	0	800	0	0	0	0	94.89	843	I
BME_RS13130	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13135	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13145	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13160	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13175	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13215	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
BME_RS13425	1	0	166	0	0	0	0	98.8	168	I
BME_RS13935	1	18.96	282	0	0	66	0	123.4	282	X
